permno,permco,cusip,comnam,namedt,nameenddt,end_date,st_date,siccd,gvkey
23863,59549,G6169A10,MILLENNIUM GROUP INTL HLDGS LTD,2023-04-04,2023-12-29,2023-12-29,2023-04-04,9999,042063
23866,59500,G7170410,PONO CAPITAL THREE INC,2023-04-03,2023-12-29,2023-12-29,2023-04-03,9999,041998
23867,59550,78423T20,SHL TELEMEDICINE LTD,2023-04-03,2023-12-29,2023-12-29,2023-04-03,9999,247961
23868,59551,G8923U10,TOP KINGWIN LTD,2023-04-18,2023-12-29,2023-12-29,2023-04-18,9999,041918
23869,59552,45840Y10,INTERACTIVE STRENGTH INC,2023-04-28,2023-12-29,2023-12-29,2023-04-28,9999,042847
23870,59553,G9520U10,U POWER LTD,2023-04-20,2023-12-29,2023-12-29,2023-04-20,9999,042012
23871,59554,90291W10,U S GOLDMINING INC,2023-04-20,2023-12-29,2023-12-29,2023-04-20,9999,042848
23872,59555,G9821810,VCI GLOBAL LTD,2023-04-13,2023-12-29,2023-12-29,2023-04-13,9999,042332
23873,59556,G9T22C10,WANG & LEE GROUP INC,2023-04-20,2023-12-29,2023-12-29,2023-04-20,9999,041627
23874,59557,00445A10,ACELYRIN INC,2023-05-05,2023-12-29,2023-12-29,2023-05-05,9999,042892
23880,59561,60978610,MONOGRAM ORTHOPAEDICS INC,2023-05-18,2023-12-29,2023-12-29,2023-05-18,9999,042945
23881,59514,35088F10,FOUR LEAF ACQUISITION CORP,2023-05-12,2023-12-29,2023-12-29,2023-05-12,9999,042219
23882,59562,84252A10,SOUTHERN CALIFORNIA BANCORP,2023-05-11,2023-12-29,2023-12-29,2023-05-11,9999,162307
23883,59563,13000T10,CALIBERCOS INC,2023-05-17,2023-12-29,2023-12-29,2023-05-17,9999,041636
23884,59564,87873920,TECHPRECISION CORP,2023-05-05,2023-12-29,2023-12-29,2023-05-05,9999,178644
23885,59530,89278D10,TRAILBLAZER MERGER CORP I,2023-05-15,2023-12-29,2023-12-29,2023-05-15,9999,041389
23936,59573,G7948310,SEALSQ CORP,2023-05-24,2023-12-29,2023-12-29,2023-05-24,9999,042262
23937,59523,67190B10,OAK WOODS ACQUISITION CORP,2023-05-19,2023-12-29,2023-12-29,2023-05-19,9999,042242
23938,59531,G8922911,TMT ACQUISITION CORP,2023-05-01,2023-12-29,2023-12-29,2023-05-01,9999,039773
23939,59574,G9889X10,ZAPP ELECTRIC VEHICLES GROUP LTD,2023-05-01,2023-12-29,2023-12-29,2023-05-01,9999,038331
23940,55864,75134P50,RAMACO RESOURCES INC,2023-06-22,2023-12-29,2023-12-29,2023-06-22,9999,029670
23942,59577,34965K10,FORTREA HOLDINGS INC,2023-07-03,2023-12-29,2023-12-29,2023-07-03,9999,043026
23943,59295,G6724L11,OKYO PHARMA LTD NEW,2023-05-22,2023-12-29,2023-12-29,2023-05-22,9999,289153
23996,59570,G0232F10,ALCHEMY INVESTMENTS ACQ CORP 1,2023-06-26,2023-12-29,2023-12-29,2023-06-26,9999,042024
23997,59585,08178Q10,BENEFICIENT,2023-06-08,2023-12-29,2023-12-29,2023-06-08,9999,038396
23998,59586,10523010,BRANCHOUT FOOD INC,2023-06-16,2023-12-29,2023-12-29,2023-06-16,9999,042987
23999,59588,Y1828410,C3IS INC,2023-06-22,2023-12-29,2023-12-29,2023-06-22,9999,043008
24000,59589,G4465R10,CHIJET MOTOR COMPANY INC,2023-06-02,2023-12-29,2023-12-29,2023-06-02,9999,039993
24009,59591,36870C10,GEN RESTAURANT GROUP INC,2023-06-28,2023-12-29,2023-12-29,2023-06-28,9999,043059
24012,59571,G4023C10,GOLDEN STAR ACQUISITION CORP,2023-06-28,2023-12-29,2023-12-29,2023-06-28,9999,040593
24016,59592,G4766E11,INDIVIOR PLC,2023-06-12,2023-12-29,2023-12-29,2023-06-12,9999,022410
24017,59593,45828J10,INTENSITY THERAPEUTICS INC,2023-06-30,2023-12-29,2023-12-29,2023-06-30,9999,039991
24022,59594,04772610,ATLANTA BRAVES HOLDINGS INC,2023-07-19,2023-12-29,2023-12-29,2023-07-19,9999,027186
24023,59594,04772630,ATLANTA BRAVES HOLDINGS INC,2023-07-19,2023-12-29,2023-12-29,2023-07-19,9999,027186
24064,59600,03770N10,APOGEE THERAPEUTICS INC,2023-07-14,2023-12-29,2023-12-29,2023-07-14,9999,043091
24065,59601,09062820,BIONEXUS GENE LAB CORP,2023-07-20,2023-12-29,2023-12-29,2023-07-20,9999,036311
24068,59603,28617B60,ELECTROVAYA INC,2023-07-06,2023-12-29,2023-12-29,2023-07-06,9999,141099
24069,59604,27030F10,EARLYWORKS CO LTD,2023-07-25,2023-12-29,2023-12-29,2023-07-25,9999,041892
24070,59590,29642410,ESH ACQUISITION CORP,2023-07-21,2023-12-29,2023-12-29,2023-07-21,9999,042970
24071,59572,G4790U10,INFLECTION POINT ACQ CORP II,2023-07-17,2023-12-29,2023-12-29,2023-07-17,9999,042314
24072,59605,47100L20,JANOVER INC,2023-07-25,2023-12-29,2023-12-29,2023-07-25,9999,041687
24074,59608,M7518J10,ODDITY TECH LTD,2023-07-19,2023-12-29,2023-12-29,2023-07-19,9999,043106
24075,59609,M7S13T10,PARAZERO TECHNOLOGIES LTD,2023-07-27,2023-12-29,2023-12-29,2023-07-27,9999,041569
24077,59610,G7244A10,PRESTIGE WEALTH INC,2023-07-06,2023-12-29,2023-12-29,2023-07-06,9999,043085
24078,59611,78670010,SAGIMET BIOSCIENCES INC,2023-07-14,2023-12-29,2023-12-29,2023-07-14,9999,038790
24079,59612,83006G10,60 DEGREES PHARMACEUTICALS INC,2023-07-12,2023-12-29,2023-12-29,2023-07-12,9999,042890
24080,59613,90042W10,TURNSTONE BIOLOGICS CORP,2023-07-21,2023-12-29,2023-12-29,2023-07-21,9999,043137
24083,59614,93465C10,WARRANTEE INC,2023-07-25,2023-12-29,2023-12-29,2023-07-25,9999,041324
24084,54311,53122974,LIBERTY MEDIA CORP 3RD NEW,2023-08-04,2023-12-29,2023-12-29,2023-08-04,9999,043188
24085,54311,53122972,LIBERTY MEDIA CORP 3RD NEW,2023-08-04,2023-12-29,2023-12-29,2023-08-04,9999,043188
24091,59618,05603E20,BV FINANCIAL INC,2023-08-01,2023-12-29,2023-12-29,2023-08-01,9999,162759
24092,59619,16307X10,CHEETAH NET SUPPLY CHAIN SERV IN,2023-08-01,2023-12-29,2023-12-29,2023-08-01,9999,042891
24093,59620,41129210,HANRYU HOLDINGS INC,2023-08-01,2023-12-29,2023-12-29,2023-08-01,9999,041958
24094,59621,60458C10,MIRA PHARMACEUTICALS INC,2023-08-03,2023-12-29,2023-12-29,2023-08-03,9999,043186
24095,59622,50215C20,LQR HOUSE INC,2023-08-10,2023-11-29,2023-12-29,2023-08-10,9999,043128
24098,59623,78577G10,SACKS PARENTE GOLF INC,2023-08-15,2023-12-29,2023-12-29,2023-08-15,9999,041474
24099,59624,85237B10,S R M ENTERTAINMENT INC,2023-08-15,2023-12-29,2023-12-29,2023-08-15,9999,043099
24100,59625,78435P10,SEZZLE INC,2023-08-17,2023-08-17,2023-12-29,2023-08-17,9999,333070
24101,59626,34551020,FOREMOST LITHIUM RES & TECH LTD,2023-08-22,2023-12-29,2023-12-29,2023-08-22,9999,343592
24102,59627,G3R95P10,ESGL HOLDINGS LIMITED,2023-08-04,2023-12-29,2023-12-29,2023-08-04,9999,040335
24114,59628,45784E10,INSPIRE VETERINARY PARTNERS INC,2023-08-30,2023-12-29,2023-12-29,2023-08-30,9999,043191
24116,59630,72582J10,PIXIE DUST TECHNOLOGIES INC,2023-08-01,2023-12-29,2023-12-29,2023-08-01,9999,043082
24159,59602,G1272911,BOWEN ACQUISITION CORP,2023-08-17,2023-12-29,2023-12-29,2023-08-17,9999,043116
24160,59587,G1676M10,BUKIT JALIL GLOBAL ACQ 1 LTD,2023-08-21,2023-12-29,2023-12-29,2023-08-21,9999,043058
24161,59634,G1149B10,ABLE VIEW GLOBAL INC,2023-08-18,2023-12-29,2023-12-29,2023-08-18,9999,040331
24162,59635,G3515010,FITELL CORP,2023-08-08,2023-12-29,2023-12-29,2023-08-08,9999,041662
24163,59636,G7243P10,NOCO NOCO INC,2023-08-28,2023-12-29,2023-12-29,2023-08-28,9999,040709
24164,59637,Y9390M10,VINFAST AUTO LTD,2023-08-15,2023-12-29,2023-12-29,2023-08-15,9999,039207
24172,59642,78637J10,SAFE & GREEN DEVELOPMENT CORP,2023-09-28,2023-12-29,2023-12-29,2023-09-28,9999,024310
24250,59654,02451V30,AMERICAN BATTERY TECHNOLOGY CO,2023-09-21,2023-12-29,2023-12-29,2023-09-21,9999,026366
24251,59655,00704R10,ADLAI NORTYE LTD,2023-09-29,2023-12-29,2023-12-29,2023-09-29,9999,043382
24252,16058,04206820,A R M HOLDINGS PLC,2023-09-14,2023-12-29,2023-12-29,2023-09-14,9999,043285
24258,59656,56539410,MAPLEBEAR INC,2023-09-19,2023-12-29,2023-12-29,2023-09-19,9999,043316
24259,59657,G2070710,CHECHE GROUP INC,2023-09-18,2023-12-29,2023-12-29,2023-09-18,9999,036852
24261,59658,G2677P10,DAVIS COMMODITIES LTD,2023-09-19,2023-12-29,2023-12-29,2023-09-19,9999,043088
24263,59659,33817P30,FITLIFE BRANDS INC,2023-09-18,2023-12-29,2023-12-29,2023-09-18,9999,178413
24269,59606,G5244311,KEEN VISION ACQUISITION CORP,2023-09-15,2023-12-29,2023-12-29,2023-09-15,9999,042231
24270,59660,52168R10,LEAD REAL ESTATE CO LTD,2023-09-27,2023-12-29,2023-12-29,2023-09-27,9999,041898
24271,59661,55285N10,MDB CAPITAL HOLDINGS LLC,2023-09-21,2023-12-29,2023-12-29,2023-09-21,9999,041885
24274,59607,G6363K10,NABORS ENERGY TRANSITION CORP II,2023-09-05,2023-12-29,2023-12-29,2023-09-05,9999,043114
24275,59662,64097910,NEUMORA THERAPEUTICS INC,2023-09-15,2023-12-29,2023-12-29,2023-09-15,9999,043287
24278,59663,63903R10,NATURE WOOD GROUP LTD,2023-09-12,2023-12-29,2023-12-29,2023-09-12,9999,043195
24279,59664,22275C10,COURTSIDE GROUP INC,2023-09-08,2023-09-26,2023-12-29,2023-09-08,9999,043284
24283,59665,75525N10,RAYZEBIO INC,2023-09-15,2023-12-29,2023-12-29,2023-09-15,9999,043289
24285,59666,G8192U10,SIMPPLE LTD,2023-09-13,2023-12-29,2023-12-29,2023-09-13,9999,042988
24286,59667,85227J10,SR BANCORP INC,2023-09-20,2023-12-29,2023-12-29,2023-09-20,9999,043009
24287,59668,G8275910,SOLOWIN HOLDINGS,2023-09-07,2023-12-29,2023-12-29,2023-09-07,9999,042895
24288,59669,87168W20,SYRA HEALTH CORP,2023-09-29,2023-12-29,2023-12-29,2023-09-29,9999,042910
24290,59670,89992410,TURBO ENERGY S A,2023-09-22,2023-12-29,2023-12-29,2023-09-22,9999,043107
24291,59671,G9517U10,VS MEDIA HOLDINGS LTD,2023-09-28,2023-12-29,2023-12-29,2023-09-28,9999,043220
24378,59681,64187110,AMBRX BIOPHARMA INC DE,2023-10-12,2023-12-29,2023-12-29,2023-10-12,9999,039018
24464,59689,00370M10,ABIVAX S A,2023-10-20,2023-12-29,2023-12-29,2023-10-20,9999,319919
24465,59690,75607T10,REALPHA TECH CORP,2023-10-23,2023-12-29,2023-12-29,2023-10-23,9999,043211
24466,59691,G0232G10,ALPHA TECHNOLOGY GROUP LTD,2023-10-31,2023-12-29,2023-12-29,2023-10-31,9999,043140
24469,59692,00838910,AGAPE APT CORP,2023-10-11,2023-12-29,2023-12-29,2023-10-11,9999,034144
24471,59693,15486W10,CENTRAL PLAINS BANCSHARES INC,2023-10-20,2023-12-29,2023-12-29,2023-10-20,9999,043152
24472,59694,N6301811,NEXT E GO N V,2023-10-20,2023-12-29,2023-12-29,2023-10-20,9999,039305
24473,59695,30612110,FALCONS BEYOND GLOBAL INC,2023-10-06,2023-12-29,2023-12-29,2023-10-06,9999,038370
24477,59696,G3937M10,GLOBAL MOFY METAVERSE LTD,2023-10-10,2023-12-29,2023-12-29,2023-10-10,9999,043222
24478,59697,36466210,GAMER PAKISTAN INC,2023-10-09,2023-12-29,2023-12-29,2023-10-09,9999,043120
24482,59698,50043K40,KOLIBRI GLOBAL ENERGY INC,2023-10-11,2023-12-29,2023-12-29,2023-10-11,9999,180401
24484,59699,50172T10,LA ROSA HOLDINGS CORP,2023-10-10,2023-12-29,2023-12-29,2023-10-10,9999,041153
24485,59700,G6202B10,MONEYHERO LTD,2023-10-13,2023-12-29,2023-12-29,2023-10-13,9999,037039
24486,59701,56066710,MAISON SOLUTIONS INC,2023-10-05,2023-12-29,2023-12-29,2023-10-05,9999,042971
24487,59639,65445K10,99 ACQUISITION GROUP INC,2023-10-09,2023-12-29,2023-12-29,2023-10-09,9999,042043
24488,59702,G5071610,NVNI GROUP LTD,2023-10-02,2023-12-29,2023-12-29,2023-10-02,9999,039885
24489,59703,Y708VV10,PRIMECH HOLDINGS LTD,2023-10-10,2023-12-29,2023-12-29,2023-10-10,9999,041105
24493,59706,91693110,URGENT LY INC,2023-10-19,2023-12-29,2023-12-29,2023-10-19,9999,039436
24494,59707,G9513S10,WEBUY GLOBAL LTD,2023-10-19,2023-12-29,2023-12-29,2023-10-19,9999,042911
24495,59709,G6336510,MURAL ONCOLOGY PLC,2023-11-16,2023-12-29,2023-12-29,2023-11-16,9999,043551
24496,59705,G8316B10,SPARK I ACQUISITION CORP,2023-11-27,2023-12-29,2023-12-29,2023-11-27,9999,043108
24508,59711,52886X10,LEXEO THERAPEUTICS INC,2023-11-03,2023-12-29,2023-12-29,2023-11-03,9999,043385
24509,59712,14179K10,CARGO THERAPEUTICS INC,2023-11-10,2023-12-29,2023-12-29,2023-11-10,9999,043555
24510,59713,82455M10,SHIMMICK CORP,2023-11-14,2023-12-29,2023-12-29,2023-11-14,9999,043435
24511,59714,76550410,RICHTECH ROBOTICS INC,2023-11-17,2023-12-29,2023-12-29,2023-11-17,9999,043190
24514,59715,28622K10,ELEVAI LABS INC,2023-11-21,2023-12-29,2023-12-29,2023-11-21,9999,043386
24566,59719,29286M10,ENGENE HOLDINGS INC,2023-11-01,2023-12-29,2023-12-29,2023-11-01,9999,040321
24576,59724,G3R39B10,GLOBAVEND HOLDINGS LTD,2023-11-08,2023-12-29,2023-12-29,2023-11-08,9999,040430
24577,59728,G1893210,CAPTIVISION INC,2023-11-16,2023-12-29,2023-12-29,2023-11-16,9999,039957
24578,59729,G1893D10,CARBON REVOLUTION PUBLIC LTD CO,2023-11-03,2023-12-29,2023-12-29,2023-11-03,9999,335558
24584,59732,G3413G10,FENBO HOLDINGS LTD,2023-11-30,2023-12-29,2023-12-29,2023-11-30,9999,043439
24589,59704,74841A10,QUETTA ACQUISITION CORP,2023-11-30,2023-12-29,2023-12-29,2023-11-30,9999,043234
24590,58965,B5950S11,MDXHEALTH S A,2023-11-27,2023-12-29,2023-12-29,2023-11-27,9999,278308
24591,59181,45333F10,INCANNEX HEALTHCARE INC,2023-11-30,2023-12-29,2023-12-29,2023-11-30,9999,284719
24639,59743,07323B10,BAYVIEW ACQUISITION CORP,2023-12-29,2023-12-29,2023-12-29,2023-12-29,9999,043719
24649,59725,G3937F10,GLOBAL LIGHTS ACQUISITION CORP,2023-12-04,2023-12-29,2023-12-29,2023-12-04,9999,043561
24653,59744,G3730L10,GARDEN STAGE LTD,2023-12-01,2023-12-29,2023-12-29,2023-12-01,9999,043083
24655,59745,44812J10,HUT 8 CORP,2023-12-04,2023-12-29,2023-12-29,2023-12-04,9999,033195
24656,59746,4576JP10,INNO HOLDINGS INC,2023-12-14,2023-12-29,2023-12-29,2023-12-14,9999,043159
24657,59748,G5500B10,LINKAGE GLOBAL INC,2023-12-19,2023-12-29,2023-12-29,2023-12-19,9999,043278
24658,59749,63945M10,N B BANCORP INC,2023-12-28,2023-12-29,2023-12-29,2023-12-28,9999,043210
24660,59750,73965010,PRAIRIE OPERATING CO,2023-12-28,2023-12-29,2023-12-29,2023-12-28,9999,186553
24665,59751,G8403L10,SRIVARU HOLDING LTD,2023-12-11,2023-12-29,2023-12-29,2023-12-11,9999,041424
24673,59752,Q9379E10,VAST RENEWABLES LTD,2023-12-19,2023-12-29,2023-12-29,2023-12-19,9999,038974
90097,45004,90385V10,ULTRA CLEAN HOLDINGS INC,2004-03-25,2023-12-29,2023-12-29,2004-03-25,3674,264416
90092,29931,78573L10,SUN HEALTHCARE GROUP INC,2004-03-10,2010-11-15,2023-12-29,2004-03-10,8051,028543
90088,44998,56624R10,MARCHEX INC,2004-03-31,2023-12-29,2023-12-29,2004-03-31,7389,157755
90081,44994,23210910,CUTERA INC,2004-03-31,2023-12-29,2023-12-29,2004-03-31,3845,146648
75033,20232,91829F10,AUDIOVOX CORP,1987-05-29,1998-04-30,2023-12-29,1987-05-29,3651,013354
75034,20253,05722G10,BAKER HUGHES INC,1987-04-24,2001-08-23,2023-12-29,1987-04-24,1389,001976
90031,44887,68236P10,G T X INC,2004-02-03,2016-12-05,2023-12-29,2004-02-03,2834,035320
75104,21866,92556H10,VIACOM INC,1987-06-10,1992-05-28,2023-12-29,1987-06-10,4832,013714
75113,20097,45110010,ICAHN ENTERPRISES L P,2011-06-13,2011-12-11,2023-12-29,1987-07-23,3714,013709
90029,44885,26815820,DYNAVAX TECHNOLOGIES CORP,2004-02-19,2014-11-09,2023-12-29,2004-02-19,2834,141496
90012,44816,71638210,PETMED EXPRESS INC,2004-01-23,2023-12-29,2023-12-29,2004-01-23,5912,065406
75418,21996,92857W30,RACAL TELECOM PLC,1988-10-27,1991-09-15,2023-12-29,1988-10-27,1731,014894
89986,44803,03816920,FLIGHT SAFETY TECHS INC NEW,2004-01-30,2008-09-28,2023-12-29,2004-01-30,3812,146738
89941,44695,89421Q20,TRAVELZOO INC,2003-12-30,2013-11-06,2023-12-29,2003-12-30,7373,149721
89935,44689,55279B30,MARSHALL EDWARDS INC,2003-12-18,2010-03-30,2023-12-29,2003-12-18,2834,157865
75470,9375,59627810,MIDDLEBY CORP,1987-07-28,1988-07-12,2023-12-29,1987-07-28,3550,013570
89927,44683,89677Q10,CTRIP COM INTL LTD,2003-12-09,2019-11-04,2023-12-29,2003-12-09,7389,157413
89925,44633,26821110,ZHONE TECHNOLOGIES INC,2003-11-14,2010-03-11,2023-12-29,2003-11-14,3661,028071
89922,44631,00676P10,TESSERA TECHNOLOGIES INC,2003-11-13,2016-12-01,2023-12-29,2003-11-13,3674,156153
89916,44625,65336K10,NEXSTAR BROADCASTING GROUP INC,2003-11-24,2017-01-17,2023-12-29,2003-11-24,4833,149177
75510,8476,00724F10,ADOBE SYSTEMS INC,1986-08-13,2018-10-08,2023-12-29,1986-08-13,7370,012540
75517,8600,57307510,MARTEN TRANSPORT LTD,1986-09-25,2023-12-29,2023-12-29,1986-09-25,4210,012625
89908,44619,20824210,CONNS INC,2003-11-25,2023-12-29,2023-12-29,2003-11-25,5722,156614
75556,9438,66405S10,NORTHEAST BANCORP,2001-08-24,2002-01-01,2023-12-29,1987-08-19,200,016689
89898,44608,67611820,ODYSSEY MARINE EXPLORATION INC,2003-11-19,2006-06-29,2023-12-29,2003-11-19,7389,065374
75573,9798,88337F10,OFFICE DEPOT INC,1988-06-01,1991-12-10,2023-12-29,1988-06-01,5110,014624
89891,44602,03837C10,BOVIE MEDICAL CORP,2003-11-05,2006-06-29,2023-12-29,2003-11-05,3842,012719
75578,9868,58805610,MERCER INTERNATIONAL INC,2007-09-21,2023-12-29,2023-12-29,1988-07-19,2621,014563
89889,44600,17240630,ACCESS INTEGRATED TECHNLGS INC,2003-11-10,2006-04-17,2023-12-29,2003-11-10,8743,155616
89875,44505,00182C10,BIOSANTE PHARMACEUTICALS INC,2003-10-01,2006-06-29,2023-12-29,2003-10-01,8731,018204
89866,44497,50188920,L K Q CORP,2003-10-03,2012-05-21,2023-12-29,2003-10-03,5015,155394
89858,34920,72650310,PLAINS ALL AMERN PIPELINE L P,1998-11-18,2017-12-25,2023-12-29,1998-11-18,4619,116029
75603,10210,17275510,CIRRUS LOGIC INC,1989-06-09,2023-12-29,2023-12-29,1989-06-09,3670,016401
75607,10224,66877110,SYMANTEC CORP,1989-06-23,2019-11-04,2023-12-29,1989-06-23,7370,015855
89824,44290,60783X10,PROVIDENCE SERVICE CORP,2003-08-19,2021-01-06,2023-12-29,2003-08-19,8322,154758
89800,44176,64111Q10,NETGEAR INC,2003-07-31,2023-12-29,2023-12-29,2003-07-31,3661,154039
75654,10256,19242210,COGNEX CORP,1989-07-20,2000-07-31,2023-12-29,1989-07-20,3570,016188
89792,44168,14956810,CAVCO INDUSTRIES INC DEL,2003-07-01,2023-12-29,2023-12-29,2003-07-01,2541,002820
89756,44117,75955K30,INTAC INTERNATIONAL INC,2003-06-05,2007-10-02,2023-12-29,2003-06-05,5065,144235
75694,10107,09073M10,TECHNE CORP,1989-02-09,2014-11-03,2023-12-29,1989-02-09,2830,015414
89753,44115,34637510,FORMFACTOR INC,2003-06-12,2023-12-29,2023-12-29,2003-06-12,3825,148390
89698,43976,44378720,HUDSON HIGHLAND GROUP INC,2003-04-01,2012-04-29,2023-12-29,2003-04-01,7360,153128
89695,43919,25820R10,DORCHESTER MINERALS LP,2003-02-03,2003-03-02,2023-12-29,2003-02-03,1310,004045
75714,10127,18506U10,GENTNER ELECTRONICS CORP,1989-03-03,1991-07-10,2023-12-29,1989-03-03,3660,018549
89655,43861,62944520,N V E CORP,2003-01-22,2023-12-29,2023-12-29,2003-01-22,3674,021743
89641,43807,G7997R10,SEAGATE TECHNOLOGY HOLDINGS,2002-12-11,2002-12-15,2023-12-29,2002-12-11,3572,150937
89618,43784,G9456A10,GOLAR L N G LTD,2002-12-12,2023-12-29,2023-12-29,2002-12-12,4412,249158
89617,38419,29444U70,EQUINIX INC,2002-12-31,2015-01-22,2023-12-29,2002-12-31,4813,138743
89611,14801,00388130,ACACIA RESEARCH CORP,2004-04-01,2023-12-29,2023-12-29,2002-12-16,2834,061004
89606,43722,83175410,SMITH & WESSON HOLDING CORP,2002-11-29,2006-06-29,2023-12-29,2002-11-29,5063,115757
89574,43690,69354N10,PORTFOLIO RECOVERY ASSOCIATES IN,2002-11-08,2004-03-31,2023-12-29,2002-11-08,7322,150477
89572,43688,15721010,PARTHUSCEVA INC,2002-11-01,2003-12-07,2023-12-29,2002-11-01,3674,135788
89570,43686,57333110,MARTIN MIDSTREAM PARTNERS LP,2002-11-01,2023-12-29,2023-12-29,2002-11-01,4449,150201
75828,10303,28551210,ELECTRONIC ARTS,1989-09-20,1991-09-26,2023-12-29,1989-09-20,7370,016721
75831,10323,25379810,DIGI INTERNATIONAL INC,1989-10-05,2000-07-31,2023-12-29,1989-10-05,3570,016710
89533,43620,98313410,WYNN RESORTS LTD,2002-10-25,2023-12-29,2023-12-29,2002-10-25,7990,149318
89525,43613,20030N10,COMCAST CORP NEW,2002-11-19,2023-12-29,2023-12-29,2002-11-19,4841,003226
75854,10359,51841510,LATTICE SEMICONDUCTOR CORP,1989-11-09,2023-12-29,2023-12-29,1989-11-09,3670,016597
75860,10380,45253H10,IMMUNOGEN INC,1989-11-17,2023-12-29,2023-12-29,1989-11-17,2830,017101
89506,43508,78709Y10,S C S TRANSPORTATION INC,2002-10-01,2006-07-23,2023-12-29,2002-10-01,4213,150481
89505,43507,02155X20,PRANA BIOTECHNOLOGY LTD,2002-09-05,2016-03-23,2023-12-29,2002-09-05,2834,249507
89475,43351,80105N10,SANOFI SYNTHELABO,2002-07-01,2004-08-22,2023-12-29,2002-07-01,8099,101204
89456,7459,50216C10,L S I LIGHTING SYS INC,1985-03-12,1989-11-19,2023-12-29,1985-03-12,3648,006527
89455,14705,78184620,RUSH ENTERPRISES INC,2002-07-10,2023-12-29,2023-12-29,2002-07-10,5511,063000
75905,10419,36237H10,G III APPAREL GROUP INC,1989-12-14,2023-12-29,2023-12-29,1989-12-14,2380,019402
75912,10408,69370C10,PARAMETRIC TECHNOLOGY CORP,1989-12-08,2006-02-27,2023-12-29,1989-12-08,7370,018699
89453,43332,75689M10,RED ROBIN GOURMET BURGERS INC,2002-07-19,2023-12-29,2023-12-29,2002-07-19,5812,148470
75976,10288,64049110,NEOGEN CORP,1989-08-23,2023-12-29,2023-12-29,1989-08-23,2830,016453
75985,10299,40624Q30,AMERICAN CREDIT OPTICAL INC,1989-09-13,1991-06-09,2023-12-29,1989-09-13,5995,016270
89449,43328,49749810,KIRKLANDS INC,2002-07-11,2023-12-29,2023-12-29,2002-07-11,5999,148391
89447,43326,12824610,CALAVO GROWERS INC,2002-07-22,2023-12-29,2023-12-29,2002-07-22,700,147708
89416,43253,43903810,HOOKER FURNITURE CORP,2002-06-27,2021-09-20,2023-12-29,2002-06-27,2510,122211
89413,43250,08915P10,BIG 5 SPORTING GOODS CORP,2002-06-25,2023-12-29,2023-12-29,2002-06-25,5941,145041
89397,43149,92343X10,VERINT SYSTEMS INC,2002-05-16,2007-01-31,2023-12-29,2002-05-16,7373,147242
89393,43145,64110L10,NETFLIX INC,2002-05-23,2023-12-29,2023-12-29,2002-05-23,7841,147579
76038,10390,09062W20,CRYOMEDICAL SCIENCES INC,1989-11-22,1998-12-02,2023-12-29,1989-11-22,2830,017199
89387,43140,20530610,COMPUTER PROGRAMS & SYSTEMS INC,2002-05-21,2023-12-29,2023-12-29,2002-05-21,7389,147849
76052,10416,71416710,MIDWESCO FILTER RESOURCES INC,1989-12-14,1994-01-30,2023-12-29,1989-12-14,2290,019431
76076,10486,17275R10,CISCO SYSTEMS INC,1990-02-16,2000-07-31,2023-12-29,1990-02-16,3570,020779
76095,10504,43644010,HOLOGIC INC,1990-03-01,2006-12-21,2023-12-29,1990-03-01,3840,020904
89353,42997,47714310,JETBLUE AIRWAYS CORP,2002-04-12,2023-12-29,2023-12-29,2002-04-12,4512,147305
89297,42769,19239V30,COGENT COMMUNICATIONS GROUP INC,2002-02-05,2005-03-23,2023-12-29,2002-02-05,7375,147204
89290,42651,87157D10,SYNAPTICS INC,2002-01-29,2023-12-29,2023-12-29,2002-01-29,3679,142814
76128,10545,92581510,VICOR CORP,1990-04-03,2023-12-29,2023-12-29,1990-04-03,5060,021238
89244,42430,98262P10,WEIGHT WATCHERS INTL INC NEW,2001-11-15,2018-10-14,2023-12-29,2001-11-15,7299,145308
89175,42270,68231087,ONCOLYTICS BIOTECH INC,2001-10-05,2015-11-04,2023-12-29,2001-10-05,2834,126122
89169,40199,24661P80,DELCATH SYSTEMS INC,2001-10-22,2014-04-08,2023-12-29,2001-10-22,3841,140023
89167,42265,22748310,CROSS COUNTRY INC,2001-10-25,2003-05-13,2023-12-29,2001-10-25,7363,144396
76226,21866,92556H20,VIACOM INC,1990-06-14,1998-06-30,2023-12-29,1990-06-14,4832,013714
89141,42114,74044410,PREFORMED LINE PRODUCTS CO,2001-09-18,2023-12-29,2023-12-29,2001-09-18,3644,019305
76230,10691,89623910,TRIMBLE NAVIGATION LTD,1990-07-20,2016-10-02,2023-12-29,1990-07-20,3810,022815
89110,41980,68213N10,OMNICELL INC,2001-08-07,2023-12-29,2023-12-29,2001-08-07,3571,142956
89044,41820,69328210,P D F SOLUTIONS INC,2001-07-27,2023-12-29,2023-12-29,2001-07-27,7379,144437
89031,41562,05464C10,TASER INTERNATIONAL INC,2001-06-07,2017-04-05,2023-12-29,2001-06-07,3480,143912
76261,10724,30214U10,FAILURE GROUP INC,1990-08-17,1992-03-01,2023-12-29,1990-08-17,8910,023027
89029,41702,71360T10,MONOLITHIC SYSTEM TECHNOLOGY INC,2001-06-28,2006-06-04,2023-12-29,2001-06-28,3674,040460
89022,41698,37740710,GLEN BURNIE BANCORP,2001-06-22,2006-07-20,2023-12-29,2001-06-22,3820,065050
